date,Dogecoin
2022-07-17,28
2022-07-24,22
2022-07-31,20
2022-08-07,22
2022-08-14,32
2022-08-21,22
2022-08-28,29
2022-09-04,20
2022-09-11,19
2022-09-18,21
2022-09-25,18
2022-10-02,19
2022-10-09,17
2022-10-16,16
2022-10-23,54
2022-10-30,96
2022-11-06,55
2022-11-13,40
2022-11-20,34
2022-11-27,39
2022-12-04,30
2022-12-11,28
2022-12-18,29
2022-12-25,30
2023-01-01,29
2023-01-08,28
2023-01-15,26
2023-01-22,24
2023-01-29,31
2023-02-05,24
2023-02-12,27
2023-02-19,20
2023-02-26,18
2023-03-05,20
2023-03-12,21
2023-03-19,19
2023-03-26,19
2023-04-02,100
2023-04-09,36
2023-04-16,29
2023-04-23,21
2023-04-30,18
2023-05-07,17
2023-05-14,16
2023-05-21,16
2023-05-28,16
2023-06-04,16
2023-06-11,15
2023-06-18,14
2023-06-25,15
2023-07-02,15
2023-07-09,15
