date,Solana
2022-07-17,46
2022-07-24,40
2022-07-31,55
2022-08-07,38
2022-08-14,36
2022-08-21,33
2022-08-28,34
2022-09-04,32
2022-09-11,35
2022-09-18,33
2022-09-25,30
2022-10-02,27
2022-10-09,27
2022-10-16,26
2022-10-23,28
2022-10-30,32
2022-11-06,100
2022-11-13,59
2022-11-20,37
2022-11-27,27
2022-12-04,27
2022-12-11,26
2022-12-18,24
2022-12-25,43
2023-01-01,47
2023-01-08,48
2023-01-15,45
2023-01-22,33
2023-01-29,32
2023-02-05,27
2023-02-12,26
2023-02-19,31
2023-02-26,26
2023-03-05,26
2023-03-12,28
2023-03-19,25
2023-03-26,24
2023-04-02,25
2023-04-09,31
2023-04-16,30
2023-04-23,26
2023-04-30,23
2023-05-07,23
2023-05-14,22
2023-05-21,23
2023-05-28,23
2023-06-04,28
2023-06-11,27
2023-06-18,24
2023-06-25,25
2023-07-02,26
2023-07-09,29
