Category: All categories

Month,bitcoin: (Worldwide)
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,3
2015-11,4
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,6
2017-02,6
2017-03,7
2017-04,6
2017-05,15
2017-06,15
2017-07,13
2017-08,20
2017-09,21
2017-10,22
2017-11,45
2017-12,100
2018-01,55
2018-02,41
2018-03,21
2018-04,19
2018-05,14
2018-06,13
2018-07,13
2018-08,12
2018-09,12
2018-10,8
2018-11,14
2018-12,13
2019-01,10
2019-02,10
2019-03,9
2019-04,12
2019-05,18
2019-06,20
2019-07,19
2019-08,15
2019-09,12
2019-10,12
2019-11,11
2019-12,10
2020-01,13
2020-02,13
2020-03,19
2020-04,16
2020-05,20
2020-06,13
2020-07,14
2020-08,15
2020-09,13
2020-10,14
2020-11,24
2020-12,29
2021-01,63
2021-02,65
2021-03,46
2021-04,52
2021-05,64
2021-06,45
2021-07,31
2021-08,35
2021-09,32
2021-10,36
2021-11,34
2021-12,34
2022-01,43
2022-02,35
2022-03,30
2022-04,23
2022-05,35
2022-06,41
2022-07,30
2022-08,22
2022-09,21
2022-10,16
2022-11,25
2022-12,18
