Category: All categories

Month,bitcoin: (Italy)
2015-01,4
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,4
2015-08,3
2015-09,2
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,4
2016-07,3
2016-08,3
2016-09,3
2016-10,4
2016-11,4
2016-12,4
2017-01,6
2017-02,5
2017-03,6
2017-04,5
2017-05,11
2017-06,11
2017-07,12
2017-08,20
2017-09,25
2017-10,28
2017-11,47
2017-12,100
2018-01,52
2018-02,41
2018-03,24
2018-04,19
2018-05,14
2018-06,11
2018-07,10
2018-08,11
2018-09,11
2018-10,10
2018-11,14
2018-12,14
2019-01,12
2019-02,12
2019-03,12
2019-04,16
2019-05,20
2019-06,24
2019-07,23
2019-08,22
2019-09,16
2019-10,17
2019-11,13
2019-12,11
2020-01,16
2020-02,18
2020-03,24
2020-04,21
2020-05,25
2020-06,17
2020-07,18
2020-08,20
2020-09,14
2020-10,16
2020-11,29
2020-12,34
