date,Bitcoin
2014-09-17,3
2014-09-18,3
2014-09-19,3
2014-09-20,3
2014-09-21,3
2014-09-22,3
2014-09-23,3
2014-09-24,3
2014-09-25,3
2014-09-26,3
2014-09-27,3
2014-09-28,3
2014-09-29,3
2014-09-30,3
2014-10-01,3
2014-10-02,3
2014-10-03,3
2014-10-04,3
2014-10-05,3
2014-10-06,3
2014-10-07,3
2014-10-08,3
2014-10-09,3
2014-10-10,3
2014-10-11,3
2014-10-12,3
2014-10-13,3
2014-10-14,3
2014-10-15,3
2014-10-16,3
2014-10-17,3
2014-10-18,3
2014-10-19,3
2014-10-20,3
2014-10-21,3
2014-10-22,3
2014-10-23,3
2014-10-24,3
2014-10-25,3
2014-10-26,3
2014-10-27,3
2014-10-28,3
2014-10-29,3
2014-10-30,3
2014-10-31,3
2014-11-01,3
2014-11-02,3
2014-11-03,3
2014-11-04,3
2014-11-05,3
2014-11-06,3
2014-11-07,3
2014-11-08,3
2014-11-09,3
2014-11-10,3
2014-11-11,3
2014-11-12,3
2014-11-13,3
2014-11-14,3
2014-11-15,3
2014-11-16,3
2014-11-17,3
2014-11-18,3
2014-11-19,3
2014-11-20,3
2014-11-21,3
2014-11-22,3
2014-11-23,3
2014-11-24,3
2014-11-25,3
2014-11-26,3
2014-11-27,3
2014-11-28,3
2014-11-29,3
2014-11-30,3
2014-12-01,3
2014-12-02,3
2014-12-03,3
2014-12-04,3
2014-12-05,3
2014-12-06,3
2014-12-07,3
2014-12-08,3
2014-12-09,3
2014-12-10,3
2014-12-11,3
2014-12-12,3
2014-12-13,3
2014-12-14,3
2014-12-15,3
2014-12-16,3
2014-12-17,3
2014-12-18,3
2014-12-19,3
2014-12-20,3
2014-12-21,3
2014-12-22,3
2014-12-23,3
2014-12-24,3
2014-12-25,3
2014-12-26,3
2014-12-27,3
2014-12-28,3
2014-12-29,3
2014-12-30,3
2014-12-31,3
2015-01-01,3
2015-01-02,3
2015-01-03,3
2015-01-04,3
2015-01-05,3
2015-01-06,3
2015-01-07,3
2015-01-08,3
2015-01-09,3
2015-01-10,3
2015-01-11,3
2015-01-12,3
2015-01-13,3
2015-01-14,3
2015-01-15,3
2015-01-16,3
2015-01-17,3
2015-01-18,3
2015-01-19,3
2015-01-20,3
2015-01-21,3
2015-01-22,3
2015-01-23,3
2015-01-24,3
2015-01-25,3
